frame,relative_angle
1,0.0
2,0.34758758544921875
3,2.74371337890625
4,4.809349060058594
5,0.3104972839355469
6,0.4225044250488281
7,3.2540855407714844
8,358.4218940734863
9,2.319019317626953
10,1.13995361328125
11,1.5498161315917969
12,3.1664199829101562
13,359.846248626709
14,355.9132995605469
15,359.1152763366699
16,358.0867347717285
17,353.5457229614258
18,357.6702575683594
19,356.4199409484863
20,1.0215339660644531
21,359.91362380981445
22,359.6720161437988
23,359.9727096557617
24,0.5133895874023438
25,0.19638824462890625
26,0.015178680419921875
27,357.1609687805176
28,0.2528953552246094
29,359.6004104614258
30,1.8145713806152344
31,359.9781951904297
32,3.3213157653808594
33,3.5295372009277344
34,1.8731956481933594
35,1.8430671691894531
36,359.1135673522949
37,358.1079978942871
38,358.66495513916016
39,358.9915428161621
40,3.4289474487304688
41,1.9546356201171875
42,1.9727554321289062
43,0.3400306701660156
44,0.8260574340820312
45,0.9893722534179688
46,359.29957580566406
47,1.4508895874023438
48,2.9371376037597656
49,358.26892852783203
50,0.25275421142578125
51,359.4911231994629
52,358.39952087402344
53,0.7591094970703125
54,355.38301849365234
55,357.8751564025879
56,359.9476432800293
57,1.5301399230957031
58,0.020931243896484375
59,359.87014389038086
60,2.1481704711914062
61,1.5361366271972656
62,1.98699951171875
63,356.692440032959
64,359.8499641418457
65,356.8147888183594
66,1.0866279602050781
67,357.5453414916992
68,354.73368072509766
69,353.63528060913086
70,1.6693000793457031
71,2.123424530029297
72,24.25711441040039
73,25.93239974975586
74,6.675983428955078
75,3.1821250915527344
76,1.921173095703125
77,359.4640235900879
78,358.63399505615234
79,356.6065444946289
80,341.8908576965332
81,349.3687286376953
82,23.58993911743164
83,354.47180938720703
84,359.88709259033203
85,359.3278045654297
86,349.4137496948242
87,347.5675811767578
88,39.48556137084961
89,26.953380584716797
90,23.543346405029297
91,30.889781951904297
92,3.5611915588378906
93,31.485889434814453
94,7.322425842285156
95,8.600627899169922
96,340.07290267944336
97,343.4740180969238
98,357.86598205566406
99,2.5811538696289062
100,3.1873016357421875
101,359.54917907714844
102,359.32184982299805
103,357.3415412902832
104,0.24884414672851562
105,33.11528396606445
106,31.001888275146484
107,6.46954345703125
108,2.5558013916015625
109,7.603614807128906
110,358.28277587890625
111,0.9916229248046875
112,6.693580627441406
113,15.440746307373047
114,34.85775375366211
115,54.12672805786133
116,335.2723693847656
117,347.39494705200195
118,350.23172760009766
119,30.277584075927734
120,31.47067642211914
121,34.159915924072266
122,356.6650581359863
123,31.122943878173828
124,349.05986404418945
125,27.909618377685547
126,6.107475280761719
127,8.254566192626953
128,105.29428482055664
129,40.63752365112305
130,0.24212646484375
131,38.028934478759766
132,22.413532257080078
133,32.982242584228516
134,26.270198822021484
135,353.4504699707031
136,359.92935943603516
137,4.268402099609375
138,355.66585540771484
139,6.770561218261719
140,356.47161865234375
141,340.9979705810547
142,31.923816680908203
143,12.120853424072266
144,352.76687240600586
145,17.430591583251953
146,11.837825775146484
147,6.6240692138671875
148,338.0409507751465
149,31.06521987915039
150,334.03464698791504
151,358.0379981994629
152,16.787555694580078
153,36.62733840942383
154,20.556514739990234
155,312.8613829612732
156,338.0222473144531
157,33.178218841552734
158,34.76333236694336
159,355.9694023132324
160,351.48575592041016
161,326.68408584594727
162,357.53295516967773
163,4.674312591552734
164,33.3312873840332
165,16.716442108154297
166,42.13638687133789
167,330.31300354003906
168,346.0401077270508
169,37.467899322509766
170,350.6263427734375
171,337.82870864868164
172,15.117671966552734
173,42.1761360168457
174,25.061992645263672
